building_id,floor_id,apartment_id,area_sim,iou,haus,score
159,698,FLOOR_AVERAGE,0.5918927114965848,0.4755879126193737,2.1170107168613472,0.48225430615053044
161,711,33aa32db3812ab80853978c8809770a9,0.49947620296502937,0.36308448967410495,3.9740309657836277,0.34502427705565375
161,711,5eced6f177c014f6cc6cc853b96d69f3,0.4980291875763244,0.4114694271145959,2.8913112162686176,0.41828919489127103
161,711,a070a2c1ab82ba2f61de6ea9d363b581,0.49706047346491866,0.4105585821474352,2.9039272641503873,0.4169024467718174
161,711,4ff464680d171ac2040446619f4db09c,0.5075064366408388,0.49208043215261615,2.394397940858824,0.47933251884958505
161,711,FLOOR_AVERAGE,0.5005180751617778,0.41929823277218803,3.040916846765364,0.41488710939208184
162,705,43307dc9624036d6947f5e7819f96fba,0.7986651871486848,0.5034925198182013,1.576232822145054,0.5805372265030618
162,705,8120a11d66bb9e087a20fc2fbf7be9db,0.48650434436522005,0.4780041778319532,2.2465322698026946,0.3858034088788693
162,705,FLOOR_AVERAGE,0.6425847657569524,0.49074834882507723,1.9113825459738742,0.4831703176909656
163,708,99a1df3da2840903c119d18b4ea73240,0.7979027364064512,0.5030215268603366,1.5798192802739748,0.639717558911082
163,708,98551ea32034231ac225fb460e4695f6,0.48650434224572625,0.37786808534789945,3.917612489875443,0.3457489710374503
163,708,FLOOR_AVERAGE,0.6422035393260888,0.44044480610411807,2.748715885074709,0.4927332649742661
178,730,5ab894033b959d4715e952a2d574cd37,0.368189292169934,0.3583667217010269,3.1910095768659965,0.3329998629531823
178,730,0e39b0807b637fab828b7cc3367b7070,0.31179225970738433,0.31178761946459815,3.4782221109344715,0.27762230972632207
178,730,973406697fc0ebb7f70efac73904aceb,0.36232906807701426,0.3463515041524679,4.048925393953299,0.2834722288917929
178,730,d6672d50e490cd5611c06f5e3dc22dd1,0.3658167530131746,0.356366143930252,3.2171589046987346,0.32995894862653563
178,730,FLOOR_AVERAGE,0.3520318432418768,0.34321799731208624,3.4838289966131253,0.30601333754945825
179,733,5482708659249ef756cdb70354995ed5,0.3082963020921087,0.30829500045266506,3.506774266546334,0.2727675533666158
179,733,6b32cb6487cdd4465fd28d730552b06d,0.3686504819117892,0.34703797234912004,4.033812719909182,0.28627538170436373
179,733,2bc840f00540fc363095255f61505d9b,0.3688434355403578,0.35852375271229614,3.2035555412161236,0.33211176005613524
179,733,0974b8c53696ac2a1825b6bb67a89612,0.36757282687867854,0.34575959821010144,4.026671937841254,0.28568701632192905
179,733,FLOOR_AVERAGE,0.3533407616057336,0.3399040809310457,3.6927036163782234,0.2942104278622609
