Category,Name,NameDE,NumberCode,Variation,Thickness,Width,Height,LoadBearing,StiffeningFunction,Prefabrication,Placement,Water,Heating,Ventilation,Electricity,FireRequirementsDE,FireRating,AcoustingRating,Finishing,ThermalTransmittance,Version,ImageURL,Reasoning
SLAB,Floor 3D module ground floor,Boden 3D Modul Erdgeschoss,SLA_26,,237,1000,1000,TRUE,TRUE,3D Mod,INTERNAL,TRUE,TRUE,FALSE,TRUE,GK V,UNIT PARTITION,UNIT PARTITION,PARQUET/TILES/TIMBER/LINOLEUM,,2405,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=95igpxpm&dl=1,
SLAB,Floor 2D area ground floor,Boden 2D-Bereich Erdgeschoss,SLA_27,,237,1000,1000,TRUE,TRUE,2D Panels,INTERNAL,FALSE,TRUE,FALSE,FALSE,GK V,UNIT PARTITION,UNIT PARTITION,PARQUET/TILES/TIMBER/LINOLEUM,,2405,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=95igpxpm&dl=1,
SLAB,Floor 3D module stacked storey interior area,Boden 3D Modul Staffegelschoss Innenbereich,SLA_28,,420,1000,1000,TRUE,TRUE,3D Mod,EXTERNAL,FALSE,TRUE,FALSE,FALSE,GK V,UNIT PARTITION,UNIT PARTITION,PARQUET/TILES/TIMBER/LINOLEUM,,2405,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=95igpxpm&dl=1,
SLAB,Floor 3D module attic storey terrace,Boden 3D Modul Staffegelschoss Terrasse,SLA_29,,420,1000,1000,TRUE,TRUE,3D Mod,INTERNAL,TRUE,TRUE,FALSE,TRUE,GK V,UNIT PARTITION,UNIT PARTITION,HOLZROST/ZEMENTPLATTEN,,2405,https://www.dropbox.com/scl/fi/q0h8zi0mtixm04j2lwkg1/SLA_29.png?rlkey=3nsxt66bpx4x5i9jcbxnc7oyk&st=q94af2ra&dl=1,
SLAB,Floor 2D area attic storey interior area 120CLT,Boden 2D-Bereich Staffelgeschoss Innenbereich 120BSP,SLA_30,,460,1000,1000,TRUE,TRUE,2D Panels,INTERNAL,TRUE,TRUE,FALSE,FALSE,GK V,UNIT PARTITION,UNIT PARTITION,PARQUET/TILES/TIMBER/LINOLEUM,,2405,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=95igpxpm&dl=1,
SLAB,Floor 2D area attic storey interior area 220CLT,Boden 2D-Bereich Staffelgeschoss Innenbereich 220BSP,SLA_31,,540,1000,1000,TRUE,TRUE,2D Panels,INTERNAL,TRUE,TRUE,FALSE,FALSE,GK V,UNIT PARTITION,UNIT PARTITION,PARQUET/TILES/TIMBER/LINOLEUM,,2405,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=95igpxpm&dl=1,
SLAB,Floor 2D area attic storey interior 240CLT,Boden 2D-Bereich Staffelgeschoss Innenbereich 240BSP,SLA_32,,580,1000,1000,TRUE,TRUE,2D Panels,EXTERNAL,TRUE,TRUE,FALSE,FALSE,GK V,UNIT PARTITION,UNIT PARTITION,PARQUET/TILES/TIMBER/LINOLEUM,,2405,https://www.dropbox.com/scl/fi/s9toh886f5ao1zr1ttfjm/MissingImage.png?rlkey=ea5c5dd3d3nn64uzcz5b48414&st=95igpxpm&dl=1,
SLAB,Floor 2D area attic storey terrace 120CLT,Boden 2D-Bereich Staffelgeschoss Terrasse 120BSP,SLA_33,,460,1000,1000,TRUE,TRUE,2D Panels,EXTERNAL,TRUE,TRUE,FALSE,FALSE,GK V,UNIT PARTITION,UNIT PARTITION,HOLZROST/ZEMENTPLATTEN,,2405,https://www.dropbox.com/scl/fi/83aolfk0hgyt21fw5wb4z/SLA_33.png?rlkey=c7oshhb14sqy4bz98zeupruj8&st=fzm6s7gd&dl=1,
SLAB,Floor 2D area attic storey terrace 220CLT,Boden 2D-Bereich Staffelgeschoss Terrasse 220BSP,SLA_34,,540,1000,1000,TRUE,TRUE,2D Panels,EXTERNAL,TRUE,TRUE,FALSE,FALSE,GK V,UNIT PARTITION,UNIT PARTITION,HOLZROST/ZEMENTPLATTEN,,2405,https://www.dropbox.com/scl/fi/vynrce1eafsqmw5k6fwiv/SLA_34.png?rlkey=9hfz3axuusm5p41s2z3xkiqav&st=zz5kep70&dl=1,
SLAB,Floor 2D area attic storey terrace 240CLT,Boden 2D-Bereich Staffelgeschoss Terrasse 240BSP,SLA_35,,580,1000,1000,TRUE,TRUE,2D Panels,EXTERNAL,TRUE,TRUE,FALSE,FALSE,GK V,UNIT PARTITION,UNIT PARTITION,HOLZROST/ZEMENTPLATTEN,,2405,https://www.dropbox.com/scl/fi/3cjdpy7hzdx3xezfsg1bt/SLA_35.png?rlkey=k3ioy3dtx2ykc34smzlhb3n6p&st=y0blerj9&dl=1,
